Name,Address,Phone,Emails,Website
Gai Kitchen,"51 Mott St, New York, NY 10013, USA",(646) 861-3798,,https://www.grubhub.com/restaurant/gai-kitchen-51-mott-street-new-york/4611272
King Dumplings,"74 Hester St, New York, NY 10002, USA",(917) 251-1249,support@sushionme.site,https://kingdumplings.site/
Rabbit House Omakase & Sake Bar,"41 Essex St, New York, NY 10002, USA",(646) 448-4022,info@rabbithouse.nyc,http://www.rabbithouse.nyc/
Martha's Country Bakery,"36-21 Ditmars Blvd, Astoria, NY 11105, USA",(718) 545-9737,,http://www.marthascountrybakery.com/
Bonjour Banh Mi & Tea,"2121 TW Alexander Dr Suite 111, Morrisville, NC 27560, USA",(919) 251-8426,,https://www.bonjourbanhmi-tea.com/
ARIARI,"119 1st Ave, New York, NY 10003-2963, USA",(646) 422-7466,info@ariarinyc.com,https://ariarinyc.com/
MoMA PS1,"22-25 Jackson Ave, Queens, NY 11101, USA",(718) 784-2086,,https://www.momaps1.org/
Tortas Neza,"104-58 Roosevelt Ave, Flushing, NY 11368, USA",(347) 666-1517,,https://tortasnezany.com/
Genesis,"162-23 Hillside Ave., Jamaica, NY 11432, USA",(718) 739-8443,,http://www.genesis1restaurant.com/
Purple Dough,"6304 39th Ave, Woodside, NY 11377, USA",(646) 726-2187,,https://purpledough.com/
Thirteen Water,"208 E 7th St, New York, NY 10009, USA",(718) 598-8556,,http://thirteenwater.com/
HOJOKBAN NYC,"128 Madison Ave, New York, NY 10016, USA",(646) 454-0008,hojokban@handhospitality.com,https://www.hojokbannyc.com/
Amor y Amargo,"443 E 6th St, New York, NY 10009, USA",(833) 328-4588,speakup@overthrowhospitality.com,https://www.overthrowhospitality.com/
Malai,"268 Smith St, Brooklyn, NY 11231, USA",(347) 889-5789,,https://www.malai.co/
The Hugh,"157 E 53rd St, New York, NY 10022, USA",,thehugh@bxp.com,http://www.thehughnyc.com/
Sweet Talk Cafe,"2008 Creekside Landing Dr, Apex, NC 27502, USA",(919) 446-6068,sweettalkcafenc@gmail.com sweettalkcafe@gmail.com,https://www.sweettalkcafenc.com/
Yemen Café & Restaurant,"176 Atlantic Ave, Brooklyn, NY 11201, USA",(718) 834-9533,Yemencafe1@gmail.com Yemencafe3@gmail.com YemenCafe2@gmail.com,https://yemencafe.com/yemencafrestaurantatlantic?utm_source=google
Yin Ji Chang Fen 銀記腸粉,"38-12 Prince St, Flushing, NY 11354-4430, USA",(315) 878-6668,,http://yinji-usa.com/
Sanyuu West,"228 W 18th St, New York, NY 10011, USA",(646) 418-2235,hello@sanyuuwest.com,http://sanyuuwest.com/
Flushing Ice Cream Factory,"135-15 40th Rd, Flushing, NY 11354, USA",(718) 886-2575,,http://www.flushingicecreamfactory.com/
Tokyo Ya,"36-06 Ditmars Blvd, Astoria, NY 11105, USA",(718) 777-8889,,https://www.tokyoyaastoria.com/
Pasta Louise Cafe,"803 8th Ave, Brooklyn, NY 11215, USA",(347) 725-3883,,https://www.pastalouise.com/
CHUNKY BOSS,"129 E 45th St, New York, NY 10017, USA",(917) 388-3700,,https://chunkyboss.co/
Strand Book Store,"828 Broadway, New York, NY 10003, USA",(212) 473-1452,,https://www.strandbooks.com/
Go Nonna,"44-64 11th St, Long Island City, NY 11101, USA",(718) 440-9914,gononnalic@gmail.com,http://gononna.com/
Market 57,"25 11th Ave, New York, NY 10011, USA",,pier57events@jamestownlp.com Pier57Leasing@jamestownlp.com,https://pier57nyc.com/market-57
